trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 1.0}",30,0,-195.2530543142326,"{0: 20, 1: 1, 2: 5, 3: 0, 4: 4}",0
2,False,"{'a': 0.7, 'e': 1.0}",20,0,-25.83598331524178,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.7, 'e': 1.0}",20,0,-61.49906726336409,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.7, 'e': 1.0}",25,0,-133.09045023291162,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
5,False,"{'a': 0.7, 'e': 1.0}",25,0,-261.8731439741019,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 5}",0
6,False,"{'a': 0.7, 'e': 1.0}",25,0,-151.55889302840077,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.7, 'e': 1.0}",20,0,-123.20153986897978,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.7, 'e': 1.0}",20,0,-239.38194458211294,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 5}",0
9,False,"{'a': 0.7, 'e': 1.0}",35,0,-187.77909855715995,"{0: 19, 1: 4, 2: 9, 3: 1, 4: 2}",0
10,False,"{'a': 0.7, 'e': 1.0}",20,0,-138.23613728422987,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.7, 'e': 1.0}",25,0,-145.30662290328564,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.7, 'e': 1.0}",30,0,-145.48116946042762,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
13,False,"{'a': 0.7, 'e': 1.0}",35,0,-250.8144859820499,"{0: 18, 1: 6, 2: 6, 3: 1, 4: 4}",0
14,False,"{'a': 0.7, 'e': 1.0}",25,0,-162.1202301442892,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
15,False,"{'a': 0.7, 'e': 1.0}",20,0,-101.11809169051675,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.7, 'e': 1.0}",25,0,-174.97582663612442,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
17,False,"{'a': 0.7, 'e': 1.0}",30,0,-77.32017505835239,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.7, 'e': 1.0}",25,12,-52.989649069970014,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.7, 'e': 1.0}",35,0,-194.17443986737928,"{0: 22, 1: 3, 2: 6, 3: 1, 4: 3}",0
20,False,"{'a': 0.7, 'e': 1.0}",30,2,-124.77738960412786,"{0: 17, 1: 5, 2: 4, 3: 0, 4: 2}",1
21,False,"{'a': 0.7, 'e': 1.0}",30,0,-172.956307694685,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
22,False,"{'a': 0.7, 'e': 1.0}",25,0,-86.96255029620407,"{0: 12, 1: 7, 2: 6, 3: 0, 4: 0}",0
23,False,"{'a': 0.7, 'e': 1.0}",25,0,-113.75242670498201,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
24,False,"{'a': 0.7, 'e': 1.0}",25,0,-140.56902398202354,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
25,False,"{'a': 0.7, 'e': 1.0}",20,0,-74.38991795689034,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
26,False,"{'a': 0.7, 'e': 1.0}",25,0,-76.4667421170182,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
27,False,"{'a': 0.7, 'e': 1.0}",20,0,-75.86286480372483,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
28,False,"{'a': 0.7, 'e': 1.0}",25,2,-55.72065407369027,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 1}",1
29,False,"{'a': 0.7, 'e': 1.0}",20,0,-81.23154918549606,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
30,False,"{'a': 0.7, 'e': 1.0}",30,0,-189.8848009407913,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
31,False,"{'a': 0.7, 'e': 1.0}",20,0,-26.076681233031746,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
32,False,"{'a': 0.7, 'e': 1.0}",30,0,-209.0037629731439,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 4}",0
33,False,"{'a': 0.7, 'e': 0.9999999999999998}",30,0,-248.77177347958855,"{0: 14, 1: 3, 2: 9, 3: 0, 4: 4}",0
34,False,"{'a': 0.7, 'e': 0.9999999999999982}",20,0,-64.00632124083758,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
35,False,"{'a': 0.7, 'e': 0.9999999999999873}",25,0,-26.997634814783883,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
36,False,"{'a': 0.7, 'e': 0.9999999999999064}",20,0,-65.07548279546617,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
37,False,"{'a': 0.7, 'e': 0.9999999999993086}",20,0,-89.6073481989381,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
38,False,"{'a': 0.7, 'e': 0.999999999994891}",30,0,-72.07751898662438,"{0: 20, 1: 5, 2: 3, 3: 2, 4: 0}",0
39,False,"{'a': 0.7, 'e': 0.9999999999622486}",25,0,-174.39534368046844,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
