trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-25.28397329877459,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.6780465490456,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-70.04635844902002,"{0: 19, 1: 5, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-152.88442444405015,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.42708843246052,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.780507829447,"{0: 13, 1: 5, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.93989743742934,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,0,-309.8273915972615,"{0: 19, 1: 1, 2: 8, 3: 2, 4: 5}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,5,-60.61050069554898,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.53689095544856,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.56812153226778,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.1055714866652,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.23581679193686,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-54.52248198754186,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-186.78001004791474,"{0: 13, 1: 6, 2: 9, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.2496724218321,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-82.26228018688943,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.9298586732288,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,10,-74.42929748511501,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.64311065330253,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-92.4410718678735,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-105.69637274357417,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-225.04146992298368,"{0: 11, 1: 5, 2: 5, 3: 0, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-201.11112929336107,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-202.50006284332147,"{0: 16, 1: 4, 2: 6, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-174.0630054506552,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-171.75398964493226,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-69.32783580747449,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-46.14189164305206,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,0,-252.55723608025218,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 5}",0
